Oz40MW,siemens415W,siemens450W,aurecon1MW
0.820883476,0.600384828,0.601632922,0.672344
0.800479576,0.59841937,0.59953847,0.672344
0.77877862,0.596453911,0.597444017,0.670512
0.755817248,0.594488452,0.595349565,0.670512
0.732680004,0.592522994,0.593255113,0.660436
0.701754928,0.580434529,0.581019496,0.629292
0,0.568346065,0.56878388,0.644864
0,0.5562576,0.556548263,0.6412
0,0.544169136,0.544312646,0.625628
0,0.532080671,0.53207703,0.56792
0,0.519992207,0.519841413,0.501968
0,0.452207475,0.450809006,0.427772
0,0.384422742,0.381776599,0.350828
0,0.31663801,0.312744192,0.275716
0,0.248853278,0.243711784,0.207016
0,0.181068546,0.174679377,0.140148
0,0.113283814,0.10564697,0.071448
0,0,0,0.007328
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.008551066,0.009603234,0
0,0.067425118,0.064051196,0.048548
0,0.12629917,0.118499158,0.124576
0,0.185173223,0.17294712,0.199688
0,0.244047275,0.227395083,0.272968
