wind,solar,base,float
3.359427222,0.72492,20,1500
3.549577778,0.9056,20,1500
3.568727222,0.99034,20,1500
3.275625,1.06094,20,1500
3.539238333,1.0769,20,1500
3.574503889,1.07892,20,1500
3.566133333,1.0769,20,1500
3.576066111,1.04778,20,1500
3.576066111,0.9334,20,1500
3.576066111,0.76872,20,1500
3.576066111,0.5603,20,1500
3.576066111,0.29776,20,1500
3.354952778,0,20,1500
3.569386111,0,20,1500
3.574735,0,20,1500
3.537789444,0,20,1500
3.021451111,0,20,1500
3.150893889,0,20,1500
3.322552222,0,20,1500
3.368793333,0,20,1500
3.015258333,0,20,1500
3.201355556,0,20,1500
2.743878333,0,20,1500
2.3376,0.112122,20,1500
2.157797778,0.32688,20,1500
1.253010556,0.50032,20,1500
2.023175556,0.70778,20,1500
2.341400556,0.8485,20,1500
3.515482222,0.84326,20,1500
3.024992222,0.78734,20,1500
2.427268333,0.81636,20,1500
2.374478333,0.75564,20,1500
2.287886667,0.73566,20,1500
3.050089444,0.6317,20,1500
2.679214444,0.37916,20,1500
2.877548333,0.11896,20,1500
2.938475,0,20,1500
2.458227778,0,20,1500
1.775268889,0,20,1500
1.261185556,0,20,1500
0.505405,0,20,1500
0.496195667,0,20,1500
0.556812222,0,20,1500
0.895634444,0,20,1500
0.889763889,0,20,1500
0.762208889,0,20,1500
1.172921111,0,20,1500
1.311637778,0.45366,20,1500
1.111590556,1.01724,20,1500
0.393399778,1.0769,20,1500
0.061652111,1.0769,20,1500
0.037992378,1.0769,20,1500
0,1.0769,20,1500
0.028611183,1.0769,20,1500
0.056252278,1.0769,20,1500
0.054921022,1.0769,20,1500
0.02604275,1.0769,20,1500
0.038856461,1.0769,20,1500
0.081302611,1.02376,20,1500
0.240292556,0.70202,20,1500
0.746252222,0,20,1500
1.769413333,0,20,1500
1.1364,0,20,1500
1.425528333,0,20,1500
1.528428333,0,20,1500
1.48383,0,20,1500
2.552573889,0,20,1500
2.025833333,0,20,1500
1.010648333,0,20,1500
1.635622778,0,20,1500
1.398226667,0,20,1500
1.694378889,0.43398,20,1500
0.530724889,0.98432,20,1500
0.235001444,1.0769,20,1500
0.128283722,1.0769,20,1500
0.030811128,1.0769,20,1500
0.023963906,1.0769,20,1500
0.032302778,1.0769,20,1500
0.014420322,1.0769,20,1500
0.094700111,1.0769,20,1500
0.037810122,1.0769,20,1500
0.1583495,1.0769,20,1500
0.172025167,0.95464,20,1500
0.675092222,0.54008,20,1500
1.583159444,0,20,1500
2.433199444,0,20,1500
2.116003333,0,20,1500
1.854135556,0,20,1500
1.382484444,0,20,1500
2.313516111,0,20,1500
2.071068333,0,20,1500
1.74472,0,20,1500
2.265,0,20,1500
1.540749444,0,20,1500
1.413786667,0,20,1500
2.77974,0.48136,20,1500
2.205871667,1.0769,20,1500
1.095248889,1.0769,20,1500
0.565851667,1.0769,20,1500
0.520874444,1.0769,20,1500
0.256365778,1.0769,20,1500
0.037595833,1.0769,20,1500
0.304023389,1.0769,20,1500
1.463076111,1.0769,20,1500
0.731733333,1.0769,20,1500
0.2698305,1.0769,20,1500
0.991554444,1.0769,20,1500
3.258829444,0.75888,20,1500
3.113748889,0,20,1500
2.853712778,0,20,1500
2.848958889,0,20,1500
1.070246111,0,20,1500
0.591791667,0,20,1500
0.542231111,0,20,1500
0.902295556,0,20,1500
0.266175222,0,20,1500
0.843806111,0,20,1500
1.197987778,0,20,1500
1.542662778,0,20,1500
1.288354444,0.59334,20,1500
0.524442722,1.0769,20,1500
0.620724444,1.0769,3,0
0.167546278,1.0769,3,0
0.026556817,1.0769,3,0
0.039381506,1.0769,3,0
0.138407667,1.0769,3,0
0.236945167,1.0769,3,0
0.341375667,1.0769,3,0
0.450741167,1.0769,3,0
0.207733389,1.0769,20,1500
0.349908833,1.0769,20,1500
0.591970556,0.84848,20,1500
1.589213333,0,20,1500
2.392452778,0,20,1500
2.411292778,0,20,1500
2.77428,0,20,1500
3.409531111,0,20,1500
3.524083333,0,20,1500
3.453951667,0,20,1500
2.997601111,0,20,1500
2.108988333,0,20,1500
2.318733889,0,20,1500
2.334371667,0,20,1500
1.510806667,0.57776,20,1500
0.897396667,1.0769,20,1500
0.962866111,1.0769,20,1500
1.194033889,1.0769,20,1500
0.977921667,1.0769,20,1500
0.364460667,1.0769,20,1500
0.123502944,1.0769,20,1500
0.047392511,1.0769,20,1500
0.153854944,1.0731,20,1500
0.165012,1.07162,20,1500
0.546196056,1.07388,20,1500
0.563191667,1.0769,20,1500
1.629205556,0.85948,20,1500
3.043589444,0,20,1500
3.076207778,0,20,1500
3.065417778,0,20,1500
3.090421667,0,20,1500
3.270912222,0,20,1500
3.436798889,0,20,1500
3.458192778,0,20,1500
3.013232222,0,20,1500
2.30257,0,20,1500
2.188346111,0,20,1500
2.226357222,0,20,1500
2.117167778,0.4209,20,1500
2.300467222,1.0047,20,1500
2.641027778,1.0769,20,1500
1.659848333,1.0769,20,1500
1.389275556,1.0769,20,1500
0.411408222,1.0769,20,1500
0.286572111,1.07612,20,1500
0.128678667,1.06982,20,1500
0.055244333,1.06604,20,1500
0.102814944,1.06474,20,1500
0.017653467,1.06668,20,1500
0,1.0042,20,1500
0.060112333,0.70394,20,1500
0.925366111,0,20,1500
1.489937222,0,20,1500
2.568837778,0,20,1500
2.919597778,0,20,1500
3.243966667,0,20,1500
3.175171667,0,20,1500
2.4654,0,20,1500
2.604040556,0,20,1500
2.644561667,0,20,1500
0.870877222,0,20,1500
3.576066111,0,20,1500
3.574345,0.45294,20,1500
3.575662778,1.0769,20,1500
3.575507222,1.0769,20,1500
3.552993889,1.0769,20,1500
3.185146667,1.0769,20,1500
3.414453333,1.07394,20,1500
1.494092778,1.06462,20,1500
0.3214955,1.05806,20,1500
0.232057889,1.05432,20,1500
0.538845722,1.0533,20,1500
1.030070556,1.0558,20,1500
0.724268889,1.04004,20,1500
0.627838889,0.68306,20,1500
1.376826111,0,20,1500
2.179978333,0,20,1500
3.576066111,0,20,1500
3.576066111,0,20,1500
3.576066111,0,20,1500
3.522433889,0,20,1500
3.34953,0,20,1500
3.255497222,0,20,1500
2.484103889,0,20,1500
2.725187778,0,20,1500
2.638362222,0,20,1500
3.118442778,0.4154,20,1500
3.370811667,1.07278,20,1500
3.201645556,1.0769,20,1500
2.585010556,1.0769,20,1500
2.221937778,1.0769,20,1500
2.04287,1.06732,20,1500
1.717303333,1.05742,20,1500
1.555693889,1.05028,20,1500
1.562533889,1.04584,20,1500
1.473401111,1.04428,20,1500
1.319422778,1.04596,20,1500
1.594780556,1.05182,20,1500
2.339912778,0.79584,20,1500
2.594518333,0,20,1500
2.607076667,0,20,1500
2.635818889,0,20,1500
2.981745,0,20,1500
3.184411667,0,20,1500
2.939801667,0,20,1500
2.468047222,0,20,1500
2.479710556,0,20,1500
2.210608333,0,20,1500
2.12815,0,20,1500
2.640011667,0,20,1500
1.873255,0.44642,20,1500
1.242735556,1.0769,20,1500
1.739607778,1.0769,20,1500
1.311972222,1.0769,20,1500
0.722238889,1.0769,20,1500
0.521913167,1.07008,20,1500
0.328276833,1.06006,20,1500
0.172519944,1.05278,20,1500
0.104672333,1.04848,20,1500
0.047298722,1.04712,20,1500
0.069041111,1.04938,20,1500
0.322831778,1.056,20,1500
0.267224056,0.79062,20,1500
0.59124,0,20,1500
1.637367778,0,20,1500
